City_ID,City,Temperature,Humidity,Cloudiness,wind_speed,Date,Country,Longitude,Latitude
341,hilo,80.26,68,40,9.22,1740862148,US,-155.09,19.7297
342,rubiataba,80.37,73,10,1.14,1740862149,BR,-49.8033,-15.1644
343,maumere,79.72,78,6,4.29,1740862149,ID,122.2111,-8.6199
344,dar chioukh,50.31,42,100,6.91,1740862149,DZ,3.4854,34.8964
345,tanumah,54.61,29,0,9.17,1740862149,SA,44.1333,27.1
346,terrigal,69.49,97,0,4.36,1740862150,AU,151.45,-33.45
347,senador jose porfirio,78.55,91,56,4.9,1740862150,BR,-51.9542,-2.5908
348,kuala belait,77.18,92,100,2.82,1740862150,BN,114.1833,4.5833
349,sao sebastiao do paraiso,75.45,67,56,5.06,1740862151,BR,-46.9914,-20.9169
350,pervomayskoye,11.84,92,5,7.16,1740862151,RU,46.7102,43.919
351,tazacorte,62.15,78,20,5.75,1740862151,ES,-17.9293,28.629
352,vorkuta,4.8,98,100,2.95,1740862152,RU,64.0,67.5
353,tezu,59.56,93,100,5.61,1740862152,IN,96.1667,27.9167
354,atafu village,82.29,73,33,13.29,1740862152,TK,-172.5159,-8.5421
355,pimenta bueno,76.24,90,100,2.82,1740862153,BR,-61.1936,-11.6725
356,noumea,82.0,99,100,6.69,1740862153,NC,166.4572,-22.2763
357,oranjemund,62.47,95,0,8.25,1740862153,NA,16.4333,-28.55
358,port augusta,64.42,75,0,15.68,1740861882,AU,137.7667,-32.5
359,la ronge,28.65,69,75,3.44,1740862153,CA,-105.2842,55.1001
360,mary,39.96,61,98,21.16,1740862154,TM,62.5,37.0
